[ Error List]
There are 5 colors in tile 09, 20.
There are 5 colors in tile 10, 20.
There are 5 colors in tile 11, 20.
There are 5 colors in tile 22, 20.
There are 5 colors in tile 23, 20.
There are 5 colors in tile 24, 20.
Tile 31, 09 does not match a palette.
Tile 09, 20 does not match a palette.
Tile 10, 20 does not match a palette.
Tile 11, 20 does not match a palette.
Tile 22, 20 does not match a palette.
Tile 23, 20 does not match a palette.
Tile 24, 20 does not match a palette.
Tile 08, 25 does not match a palette.


[ Error List]
There are 5 colors in tile 00, 10.
There are 5 colors in tile 15, 10.
There are 5 colors in tile 21, 10.
Tile 00, 10 does not match a palette.
Tile 15, 10 does not match a palette.
Tile 21, 10 does not match a palette.


[ Error List]
There are 5 colors in tile 03, 16.
Tile 01, 00 does not match a palette.
Tile 15, 06 does not match a palette.
Tile 02, 07 does not match a palette.
Tile 00, 10 does not match a palette.
Tile 01, 10 does not match a palette.
Tile 02, 10 does not match a palette.
Tile 03, 10 does not match a palette.
Tile 04, 10 does not match a palette.
Tile 05, 10 does not match a palette.
Tile 06, 10 does not match a palette.
Tile 07, 10 does not match a palette.
Tile 08, 10 does not match a palette.
Tile 07, 13 does not match a palette.
Tile 03, 16 does not match a palette.
Tile 00, 18 does not match a palette.
Tile 01, 18 does not match a palette.
Tile 02, 18 does not match a palette.
Tile 03, 18 does not match a palette.
Tile 04, 18 does not match a palette.
Tile 05, 18 does not match a palette.
Tile 06, 18 does not match a palette.
Tile 07, 18 does not match a palette.
Tile 08, 18 does not match a palette.
Tile 11, 18 does not match a palette.
Tile 13, 18 does not match a palette.
Tile 00, 19 does not match a palette.
Tile 01, 19 does not match a palette.
Tile 02, 19 does not match a palette.
Tile 03, 19 does not match a palette.
Tile 05, 19 does not match a palette.
Tile 06, 19 does not match a palette.
Tile 07, 19 does not match a palette.
Tile 08, 19 does not match a palette.
Tile 09, 19 does not match a palette.
Tile 10, 19 does not match a palette.
Tile 12, 19 does not match a palette.
Tile 13, 19 does not match a palette.
Tile 14, 19 does not match a palette.
Tile 15, 19 does not match a palette.
Tile 00, 20 does not match a palette.
Tile 01, 20 does not match a palette.
Tile 02, 20 does not match a palette.
Tile 03, 20 does not match a palette.
Tile 07, 20 does not match a palette.
Tile 08, 20 does not match a palette.
Tile 09, 20 does not match a palette.
Tile 10, 20 does not match a palette.
Tile 11, 20 does not match a palette.
Tile 12, 20 does not match a palette.
Tile 13, 20 does not match a palette.
Tile 14, 20 does not match a palette.
Tile 15, 20 does not match a palette.
Tile 00, 21 does not match a palette.
Tile 02, 21 does not match a palette.
Tile 07, 21 does not match a palette.
Tile 08, 21 does not match a palette.
Tile 09, 21 does not match a palette.
Tile 10, 21 does not match a palette.
Tile 11, 21 does not match a palette.
Tile 12, 21 does not match a palette.
Tile 13, 21 does not match a palette.
Tile 14, 21 does not match a palette.
Tile 15, 21 does not match a palette.
Tile 07, 22 does not match a palette.
Tile 09, 22 does not match a palette.
Tile 10, 22 does not match a palette.
Tile 11, 22 does not match a palette.
Tile 12, 22 does not match a palette.
Tile 13, 22 does not match a palette.
Tile 14, 22 does not match a palette.
Tile 00, 23 does not match a palette.
Tile 01, 23 does not match a palette.
Tile 06, 23 does not match a palette.
Tile 09, 23 does not match a palette.
Tile 10, 23 does not match a palette.
Tile 11, 23 does not match a palette.
Tile 12, 23 does not match a palette.
Tile 13, 23 does not match a palette.
Tile 15, 23 does not match a palette.
Tile 00, 24 does not match a palette.
Tile 01, 24 does not match a palette.
Tile 02, 24 does not match a palette.
Tile 03, 24 does not match a palette.
Tile 13, 24 does not match a palette.
Tile 00, 25 does not match a palette.
Tile 01, 25 does not match a palette.
Tile 02, 25 does not match a palette.
Tile 04, 25 does not match a palette.
Tile 05, 25 does not match a palette.
Tile 06, 25 does not match a palette.
Tile 07, 25 does not match a palette.
Tile 13, 25 does not match a palette.
Tile 15, 25 does not match a palette.


[ Error List]
There are 5 colors in tile 03, 16.
Tile 01, 00 does not match a palette.
Tile 15, 06 does not match a palette.
Tile 02, 07 does not match a palette.
Tile 00, 10 does not match a palette.
Tile 01, 10 does not match a palette.
Tile 02, 10 does not match a palette.
Tile 03, 10 does not match a palette.
Tile 04, 10 does not match a palette.
Tile 05, 10 does not match a palette.
Tile 06, 10 does not match a palette.
Tile 07, 10 does not match a palette.
Tile 08, 10 does not match a palette.
Tile 07, 13 does not match a palette.
Tile 03, 16 does not match a palette.
Tile 00, 18 does not match a palette.
Tile 01, 18 does not match a palette.
Tile 02, 18 does not match a palette.
Tile 03, 18 does not match a palette.
Tile 04, 18 does not match a palette.
Tile 05, 18 does not match a palette.
Tile 06, 18 does not match a palette.
Tile 07, 18 does not match a palette.
Tile 08, 18 does not match a palette.
Tile 11, 18 does not match a palette.
Tile 13, 18 does not match a palette.
Tile 00, 19 does not match a palette.
Tile 01, 19 does not match a palette.
Tile 02, 19 does not match a palette.
Tile 03, 19 does not match a palette.
Tile 05, 19 does not match a palette.
Tile 06, 19 does not match a palette.
Tile 07, 19 does not match a palette.
Tile 08, 19 does not match a palette.
Tile 09, 19 does not match a palette.
Tile 10, 19 does not match a palette.
Tile 12, 19 does not match a palette.
Tile 13, 19 does not match a palette.
Tile 14, 19 does not match a palette.
Tile 15, 19 does not match a palette.
Tile 00, 20 does not match a palette.
Tile 01, 20 does not match a palette.
Tile 02, 20 does not match a palette.
Tile 03, 20 does not match a palette.
Tile 07, 20 does not match a palette.
